"Country/Region","cases","deaths","Lat","Long"
"Afghanistan",209451,7896,33.93911,67.709953
"Albania",334457,3598,41.1533,20.1683
"Algeria",271496,6881,28.0339,1.6596
"Andorra",47890,165,42.5063,1.5218
"Angola",105288,1933,-11.2027,17.8739
"Antarctica",11,0,-71.9499,23.347
"Antigua and Barbuda",9106,146,17.0608,-61.7964
"Argentina",10044957,130472,-38.4161,-63.6167
"Armenia",447308,8727,40.0691,45.0382
"Australia",11399460,19574,-35.4735,149.0124
"Australia",11399460,19574,-33.8688,151.2093
"Australia",11399460,19574,-12.4634,130.8456
"Australia",11399460,19574,-27.4698,153.0251
"Australia",11399460,19574,-34.9285,138.6007
"Australia",11399460,19574,-42.8821,147.3272
"Australia",11399460,19574,-37.8136,144.9631
"Australia",11399460,19574,-31.9505,115.8605
"Austria",5961143,21970,47.5162,14.5501
"Azerbaijan",828825,10138,40.1431,47.5769
"Bahamas",37491,833,25.025885,-78.035889
"Bahrain",710693,1553,26.0275,50.55
"Bangladesh",2037871,29445,23.685,90.3563
"Barbados",106798,579,13.1939,-59.5432
"Belarus",994037,7118,53.7098,27.9534
"Belgium",4739365,33814,50.8333,4.469936
"Belize",70757,688,17.1899,-88.4976
"Benin",27999,163,9.3077,2.3158
"Bhutan",62627,21,27.5142,90.4336
"Bolivia",1194277,22365,-16.2902,-63.5887
"Bosnia and Herzegovina",401729,16280,43.9159,17.6791
"Botswana",329758,2801,-22.3285,24.6849
"Brazil",37076053,699276,-14.235,-51.9253
"Brunei",279661,225,4.5353,114.7277
"Bulgaria",1297523,38228,42.7339,25.4858
"Burkina Faso",22056,396,12.2383,-1.5616
"Burma",633950,19490,21.9162,95.956
"Burundi",53631,38,-3.3731,29.9189
"Cabo Verde",63244,413,16.5388,-23.0418
"Cambodia",138719,3056,11.55,104.9167
"Cameroon",124392,1965,3.848,11.5021
"Central African Republic",15368,113,6.6111,20.9394
"Chad",7679,194,15.4542,18.7322
"Chile",5192286,64273,-35.6751,-71.543
"Colombia",6359093,142339,4.5709,-74.2973
"Comoros",9008,161,-11.6455,43.3333
"Congo (Brazzaville)",25087,388,-0.228,15.8277
"Congo (Kinshasa)",95749,1464,-4.0383,21.7587
"Costa Rica",1209725,9245,9.7489,-83.7534
"Cote d'Ivoire",88263,834,7.54,-5.5471
"Croatia",1269326,17987,45.1,15.2
"Cuba",1112643,8530,21.521757,-77.781167
"Cyprus",650685,1330,35.1264,33.4299
"Czechia",4618256,42491,49.8175,15.473
"Denmark",3451036,8345,61.8926,-6.9118
"Denmark",3451036,8345,71.7069,-42.6043
"Denmark",3451036,8345,56.2639,9.5018
"Diamond Princess",712,13,0,0
"Djibouti",15690,189,11.8251,42.5903
"Dominica",15760,74,15.415,-61.371
"Dominican Republic",660790,4384,18.7357,-70.1627
"Ecuador",1057121,36014,-1.8312,-78.1834
"Egypt",515759,24812,26.820553,30.802498
"El Salvador",201785,4230,13.7942,-88.8965
"Equatorial Guinea",17229,183,1.6508,10.2679
"Eritrea",10189,103,15.1794,39.7823
